created_at	updated_at	category_id	game_id
		3	13348
		2	10661
		2	9608
		2	15883
		3	19124
		2	94
		2	10259
		2	4680
		2	274
		2	992
		3	9032
		2	9344
		2	3764
		2	17540
		2	16052
		3	4368
		2	84
		2	187
		2	17257
		2	214
		2	12472
		2	14167
		2	4370
		3	12473
		2	7326
		2	18277
		2	5738
		2	224
		2	5151
		2	11434
		2	4272
		3	11971
		3	16277
		2	373
		3	7328
		2	443
		2	473
		2	4180
		2	877
		2	2040
		2	910
		2	16579
		2	9143
		2	3719
		2	1393
		2	418
		2	14547
		2	7702
		3	12218
		2	1682
		2	493
		2	3092
		2	1121
		2	1984
		2	89
		2	3667
		2	15040
		3	9862
		2	17201
		2	14246
		2	15752
		2	12612
		2	3342
		3	10704
		2	151
		2	13571
		2	6308
		2	15743
		2	15761
		2	1017
		2	321
		2	1023
		2	404
		2	12694
		3	199
		2	773
		2	11637
		3	15811
		2	13228
		2	978
		2	2257
		3	2522
		2	12096
		2	1219
		3	13435
		2	5587
		3	9335
		2	3496
		2	13628
		2	17864
		2	11723
		2	16057
		2	15318
		3	5620
		2	2775
		2	185
		2	11237
		2	14909
		3	8324
		2	10061
		3	195
		3	409
		2	6333
		2	4369
		2	12031
		2	1273
		3	19938
		2	2210
		3	386
		2	4929
		2	10461
		3	3968
		3	3085
		3	14625
		2	16457
		2	9313
		2	16748
		3	379
		2	14618
		3	10115
		3	620
		2	4448
		2	6085
		2	3106
		2	710
		2	1005
		3	2033
		3	10694
		2	1497
		2	426
		2	14594
		2	74
		2	15774
		2	1226
		2	15364
		3	2072
		2	6332
		2	538
		2	14540
		2	17931
		3	8188
		3	1396
		2	15765
		3	12251
		2	11101
		2	1342
		2	13085
		3	30
		2	1733
		2	9645
		2	3612
		2	1894
		2	1210
		2	190
		2	5332
		2	48
		2	138
		2	97
		3	4884
		2	9382
		2	7253
		2	5233
		2	1150
		3	11528
		2	9981
		2	2121
		2	1060
		2	5280
		3	4133
		5	2584
		5	5487
		5	4303
		5	415
		5	7126
		5	14122
		5	4321
		5	627
		5	6431
		5	7346
		5	3480
		5	11737
		5	3831
		5	9551
		2	348
		8	534
		2	9450
		4	785
		8	10108
		8	3154
		8	946
		2	4428
		2	12997
		2	1002
		8	11550
		2	15174
		8	15986
		2	902
		2	497
		2	2385
		4	2720
		2	1000
		8	852
		2	13061
		2	5521
		8	16087
		8	13356
		8	15985
		2	5180
		8	3680
		2	1148
		2	420
		2	13671
		2	2509
		2	5361
		2	7487
		2	961
		2	6635
		2	13722
		2	509
		2	162
		2	16330
		2	14306
		2	1689
		2	491
		2	469
		2	12979
		2	5625
		2	5572
		2	519
		4	7501
		2	12900
		2	9150
		5	17089
		2	6552
		2	9147
		2	11808
		2	423
		2	14008
		2	3961
		2	13484
		7	13704
		5	14877
		2	13425
		5	5721
		5	488
		7	6534
		2	501
		2	5105
		2	3303
		2	4985
		2	7607
		5	13865
		5	389
		2	6411
		2	13474
		2	14264
		5	9758
		2	6059
		2	118
		2	7636
		5	8709
		2	4502
		5	11794
		2	1015
		2	6969
		5	988
		2	914
		2	814
		5	5938
		5	3569
		2	14586
		5	13864
		7	75
		2	747
		2	6395
		5	9962
		2	14657
		5	2252
		5	9519
		2	821
		2	7075
		4	4212
		5	9816
		2	13663
		2	14116
		2	2116
		2	6792
		2	9331
		2	8248
		2	8485
		5	15629
		2	2185
		2	14405
		2	12697
		2	1665
		5	514
		2	5223
		5	16380
		5	8314
		5	4420
		7	261
		2	9664
		2	2468
		2	1468
		5	17023
		5	8128
		4	909
		5	9711
		5	9710
		2	15664
		5	16047
		5	9684
		5	11717
		5	357
		5	10843
		5	9136
		5	4062
		5	5558
		2	2588
		5	11751
		3	7836
		3	2020
		5	745
		5	1651
		5	5194
		5	1270
		5	4004
		5	1296
		5	3234
		5	3625
		5	2513
		5	7073
		2	467
		5	371
		5	3750
		5	5059
		5	19106
		5	12003
		5	7256
		5	9856
		2	5016
		5	633
		5	9087
		5	13008
		5	13558
		5	15105
		5	14675
		5	17202
		5	12417
		5	367
		5	194
		5	3458
		5	4867
		5	7204
		5	6160
		5	372
		6	2145
		2	8416
		5	353
		5	15766
		5	5266
		5	2163
		5	7363
		5	6579
		5	7089
		5	16053
		2	4066
		5	17669
		5	5197
		5	9437
		5	19910
		2	8569
		2	5660
		2	9210
		2	9804
		2	5222
		2	421
		2	90
		2	12189
		2	14832
		8	5986
		2	8567
		2	16927
		2	6501
		2	19110
		2	9071
		2	13341
		2	6954
		2	561
		2	4658
		2	6121
		2	29
		2	395
		2	5603
		5	4255
		2	14443
		2	2256
		2	13512
		2	77
		2	7362
		2	10647
		2	8735
		2	6941
		2	6550
		2	5890
		4	10
		5	13426
		3	3120
		7	969
		2	78
		2	5963
		2	2014
		2	450
		2	238
		2	478
		2	4365
		2	591
		2	4357
		8	10793
		2	7241
		5	682
		2	4681
		7	523
		2	11169
		4	11763
		2	5712
		2	13424
		8	7212
		2	13486
		2	174
		8	10833
		8	9909
		2	9406
		2	440
		2	16070
		8	816
		3	9918
		2	565
		2	6353
		2	9757
		2	883
		2	4362
		8	2528
		2	2502
		2	6813
		2	4701
		5	3516
		2	3954
		8	932
		2	812
		2	11586
		2	11849
		2	7035
		2	116
		2	2501
		2	2542
		2	13332
		2	17447
		2	9830
		2	3163
		2	17276
		2	19592
		8	414
		2	4438
		2	599
		5	9737
		2	11939
		2	175
		4	4381
		2	4082
		8	10349
		2	817
		8	3508
		2	230
		2	876
		2	9814
		5	178
		2	448
		2	14977
		9	226
		2	5588
		2	221
		5	2443
		8	2248
		2	2142
		3	577
		3	2991
		2	4065
		2	17524
		2	396
		5	135
		2	13259
		2	375
		2	809
		2	258
		2	566
		2	553
		7	5516
		2	9509
		2	3640
		2	13750
		2	14596
		7	5352
		8	10012
		2	83
		2	12243
		9	977
		2	14406
		2	181
		2	9992
		2	5657
		2	91
		8	1487
		7	9772
		2	4281
		2	5311
		2	14064
		2	7735
		2	416
		2	9852
		2	581
		2	5481
		8	10039
		2	8947
		2	6891
		8	7929
		2	4374
		2	4179
		2	6841
		2	583
		8	6676
		2	10757
		2	5270
		5	14060
		8	5323
		2	542
		2	10619
		2	3779
		2	7707
		2	16914
		5	15778
		5	1084
		8	8595
		2	2233
		8	177
		7	14
		5	378
		2	841
		2	9742
		7	968
		8	9790
		7	15064
		5	9789
		2	119
		5	3237
		2	2504
		2	15776
		2	28
		2	13056
		4	436
		8	15210
		8	5919
		8	186
		5	535
		7	6131
		5	5978
		2	8809
		2	93
		2	5736
		2	10810
		2	924
		2	2260
		2	6444
		8	8710
		5	14030
		5	17928
		2	1324
		5	81
		2	5331
		5	13386
		5	10759
		8	513
		2	17567
		5	5972
		5	11108
		5	2768
		2	5243
		2	15522
		2	2214
		2	7049
		7	10362
		5	369
		5	359
		8	15001
		7	7523
		3	733
		2	18328
		7	2500
		2	15886
		2	1146
		2	34
		5	8100
		5	9868
		7	5157
		9	887
		2	442
		4	784
		2	17255
		2	15894
		8	5005
		8	7728
		5	8223
		5	182
		2	16124
		7	9089
		2	15365
		8	4171
		2	10049
		5	9735
		8	16946
		2	505
		2	827
		2	3783
		2	2093
		3	2990
		2	983
		2	13258
		2	2276
		5	12169
		2	9321
		5	19722
		9	179
		5	9319
		5	5679
		3	2141
		2	5892
		5	10640
		2	9278
		2	5518
		9	12037
		2	10656
		8	782
		2	9552
		8	589
		9	2564
		9	183
		2	15119
		5	6557
		2	528
		5	533
		2	481
		5	2061
		8	1066
		5	14626
		5	76
		4	15832
		5	4119
		5	4650
		5	3979
		5	9107
		2	873
		2	14375
		2	211
		7	223
		2	5670
		5	7972
		2	13841
		2	9307
		2	575
		2	9866
		2	9384
		2	392
		2	4674
		8	764
		2	121
		5	6326
		2	11732
		2	9865
		2	14667
		5	1478
		8	2321
		2	5845
		7	850
		5	960
		2	13343
		2	456
		5	12
		5	8810
		2	13144
		5	515
		2	134
		2	227
		2	1251
		2	425
		5	13629
		2	7881
		5	518
		2	14526
		5	8432
		5	5420
		8	3630
		5	559
		5	1422
		2	439
		3	5418
		5	6609
		2	12079
		7	9074
		2	5735
		7	92
		2	2534
		2	1067
		7	15947
		2	972
		5	5710
		5	3926
		2	11492
		2	15939
		8	11647
		7	4213
		5	394
		5	366
		7	2148
		8	1247
		2	2202
		2	7316
		2	11461
		2	18979
		2	4367
		9	5296
		8	1049
		2	2119
		5	3479
		5	3517
		7	7091
		5	7261
		2	8966
		5	16237
		5	1207
		5	6282
		5	2243
		5	7011
		2	3634
		5	7123
		8	8711
		2	12176
		2	14346
		5	7376
		5	430
		2	9620
		2	3739
		2	4662
		2	16639
		5	11722
		7	7484
		5	7356
		5	455
		7	11020
		2	1415
		2	11811
		2	9212
		2	10861
		2	17373
		5	1688
		2	6800
		2	20444
		5	5661
		5	437
		2	193
		2	16753
		7	2510
		2	9372
		2	479
		7	1417
		5	9311
		9	584
		9	2184
		2	17004
		5	6498
		2	5596
		5	2538
		8	6798
		2	5201
		8	9665
		2	188
		5	1367
		2	13215
		2	15670
		3	548
		2	494
		3	547
		2	13550
		5	3565
		5	7415
		5	1135
		5	8373
		7	13018
		5	2559
		8	836
		5	413
		5	4854
		5	2306
		2	11869
		2	14979
		2	2023
		2	189
		2	8918
		5	10698
		5	1009
		7	3051
		5	520
		2	7071
		5	449
		2	4260
		2	122
		5	9037
		3	579
		2	6337
		2	2310
		5	14908
		2	543
		2	15960
		2	10764
		5	15356
		2	16455
		3	2992
		8	14412
		3	11
		2	11776
		2	14532
		2	3585
		8	4168
		2	770
		2	11715
		5	4164
		2	9641
		7	13151
		5	13807
		8	2098
		5	8472
		2	15520
		2	5189
		2	14527
		2	17628
		2	574
		8	14488
		2	9045
		7	475
		5	17915
		5	5984
		8	5893
		2	12224
		2	17195
		5	19937
		2	14422
		5	13682
		2	7541
		5	4331
		5	2314
		9	391
		5	666
		5	15549
		7	844
		2	17007
		2	928
		2	6979
		2	13239
		2	12091
		5	6082
		5	237
		2	13253
		5	284
		5	11304
		5	13574
		3	563
		2	16050
		2	843
		8	11947
		2	11924
		2	1014
		2	12714
		5	9510
		2	939
		5	4874
		2	2118
		5	9733
		5	17231
		5	16048
		5	11141
		2	14105
		2	12896
		5	18780
		2	18144
		2	4148
		2	4860
		5	428
		8	12114
		2	11881
		8	6558
		5	7825
		2	6496
		2	655
		7	15637
		2	1137
		2	9513
		5	14776
		3	558
		5	11010
		7	16518
		5	18905
		2	6994
		2	11874
		5	285
		9	1697
		5	13870
		7	3781
		8	1040
		8	934
		2	444
		2	6642
		2	718
		3	6694
		5	6278
		5	15918
		5	9692
		8	313
		5	9225
		2	8570
		9	2183
		2	4663
		7	3928
		2	13696
		5	5476
		2	5957
		5	17916
		8	1527
		2	14791
		2	15508
		2	9050
		5	344
		2	921
		2	14678
		5	16327
		5	11595
		2	115
		4	6028
		7	1793
		2	16424
		2	9844
		8	8860
		5	4434
		2	13576
		7	3726
		2	2144
		2	1277
		2	5355
		2	953
		2	7992
		5	3974
		5	14627
		2	4174
